codigoUc;mesReferencia;valorFatura;dataPagamento;banco
3095046800;01/03/2025;2.146,37;14/05/2025;C6_BANK
3093262301;01/03/2025;826,45;15/05/2025;C6_BANK
3092571658;01/04/2025;97,96;15/05/2025;C6_BANK
3091314655;01/04/2025;13.394,33;15/05/2025;C6_BANK
3095150950;01/04/2025;385,06;15/05/2025;C6_BANK
3092608534;01/04/2025;352,77;15/05/2025;C6_BANK
3092707047;01/04/2025;527,84;15/05/2025;C6_BANK
3090623032;01/04/2025;753;15/05/2025;C6_BANK
3090585494;01/03/2025;4.116,87;15/05/2025;C6_BANK
3090585494;01/04/2025;2.644,91;15/05/2025;C6_BANK
3091496341;01/04/2025;14.080,77;21/05/2025;C6_BANK
3095156869;01/03/2025;4.039,68;27/05/2025;C6_BANK
3095677733;01/05/2025;4.274,16;28/05/2025;C6_BANK
3090657009;01/04/2025;567,01;28/05/2025;C6_BANK
3095156869;01/04/2025;3.302,82;28/05/2025;C6_BANK
3095046800;01/04/2025;2.023,17;28/05/2025;C6_BANK
3091159533;01/05/2025;346,11;30/05/2025;C6_BANK
3093257025;01/04/2025;406,39;30/05/2025;C6_BANK
3095196256;01/05/2025;1.161,17;04/06/2025;C6_BANK
3082099467;01/05/2025;373;04/06/2025;C6_BANK
3095194198;01/05/2025;1.646,50;06/06/2025;C6_BANK
3092707047;01/05/2025;409,81;06/06/2025;C6_BANK
3095209861;01/05/2025;1.062,36;06/06/2025;C6_BANK
4002293699;01/05/2025;625,03;06/06/2025;C6_BANK
3090656152;01/05/2025;1.124,13;06/06/2025;C6_BANK
3090656152;01/05/2025;1.124,13;06/06/2025;C6_BANK
3090582291;01/05/2025;1.399,30;06/06/2025;C6_BANK
3090585494;01/05/2025;2.426,18;06/06/2025;C6_BANK
4003327542;01/05/2025;164,95;11/06/2025;C6_BANK
4004082808;01/04/2025;2.621,60;16/06/2025;C6_BANK
3091496341;01/05/2025;10.741,35;23/06/2025;C6_BANK
3090657009;01/05/2025;867,21;24/06/2025;C6_BANK
3093262301;01/04/2025;390,81;24/06/2025;C6_BANK
3090783930;01/05/2025;1.927,14;24/06/2025;C6_BANK
3093262301;01/05/2025;378,27;25/06/2025;C6_BANK
3095209053;01/05/2025;800,85;25/06/2025;C6_BANK
3095322370;01/05/2025;1.270,22;25/06/2025;C6_BANK
3095150950;01/05/2025;282,38;25/06/2025;C6_BANK
3095156869;01/05/2025;2.760,34;25/06/2025;C6_BANK
3095046800;01/05/2025;1.991,69;25/06/2025;C6_BANK
3091314655;01/05/2025;12.197,88;26/06/2025;C6_BANK
3090657265;01/05/2025;493,31;30/06/2025;C6_BANK
3090657453;01/05/2025;1.179,28;30/06/2025;C6_BANK
3092608534;01/05/2025;292,35;30/06/2025;C6_BANK
3095147868;01/05/2025;440,81;30/06/2025;C6_BANK
3085723679;01/05/2025;255,52;30/06/2025;C6_BANK
3090623032;01/05/2025;759,3;30/06/2025;C6_BANK
4002435906;01/05/2025;376,4;30/06/2025;C6_BANK
4003993154;01/05/2025;1.403,21;01/07/2025;C6_BANK
3090691461;01/05/2025;754,36;01/07/2025;C6_BANK
3092607662;01/05/2025;1.131,97;01/07/2025;C6_BANK
4003327543;01/05/2025;728,73;01/07/2025;C6_BANK
4003327541;01/05/2025;1.225,57;01/07/2025;C6_BANK
3093257025;01/05/2025;417,79;01/07/2025;C6_BANK
